Filename,DictionaryIPA,DictionaryTone,VowelLength,IPA,Coda,ReclassifiedTone,ReclassifiedVowelLength,VowelQuality,PhonemicIPA,ReclassifiedIPA,ReclassifiedCoda,Exclude,DictionaryMatch,Onset,OnsType
WZ15_3_74_5,poːn3,3,long,poːn3,nasal,3,long,o,poːn,pɔːn,nasal,Keep,yes,p,voiceless stop
WZ15_3_59_5,tin3,3,short,tin3,nasal,3,short,i,tin,tin,nasal,Keep,yes,t,voiceless stop
WZ15_1_10_5,ɕeːn1,1,long,ɕeːn1,nasal,1,long,e,ɕeːn,ɕiːən,nasal,Keep,yes,ɕ,voiceless fricative
WZ15_2_41_5,ka2,2,short,ka2,nocoda,2,long,a,kaː,kaː,nocoda,Keep,yes,k,voiceless stop
WZ15_7_144_5,tɯk7,7,short,tɯk7,obstruent,3,long,a,taː,taː,nocoda,Keep,no,t,voiceless stop
WZ09_3_74_1,poːn3,3,long,poːn3,nasal,3,long,o,poːn,pɤːn,nasal,Keep,yes,p,voiceless stop
WZ09_5_76_1,ɕa3_or_te5,5,short,te5,nocoda,3,NA,a,taŋ,taŋ,nasal,Keep,no,t,voiceless stop
WZ09_3_61_1,hen3,3,short,hen3,nasal,3,short,e,heːn,hen,nasal,Keep,yes,h,voiceless fricative
WZ09_3_66_1,ti3,3,short,ti3,nocoda,3,long,i,tiː,tiː,nocoda,Keep,yes,t,voiceless stop
WZ09_6_122_1,ɕo6,6,short,ɕo6,nocoda,6,long,o,ɕoː,ɕɤː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ09_7_150_1,ɕup7_or_kɯ1,7,short,ɕup7,obstruent,7,short,i,ɕit,ɕit,obstruent,Keep,no,ɕ,voiceless fricative
WZ09_8_169_1,tɯk8,8,short,tɯk8,obstruent,8,short,ɯ,tɯk,tɯk,obstruent,Keep,yes,t,voiceless stop
WZ09_3_55_1,tan3,3,short,tan3,nasal,3,short,a,tan,tan,nasal,Extra,NA,t,voiceless stop
